n,IC,hit_rate,strat_mean,strat_sharpe,signal,instrument,horizon
140,-0.060016181583608504,0.4785714285714286,-0.000525923301212108,-0.07235019955595162,trend_50,AUDUSD,21
140,-0.10864402702761805,0.42142857142857143,-0.0014900393378829908,-0.2617894482472999,trend_50,USDCHF,21
140,-0.12304563643917696,0.40714285714285714,0.0002050985233332208,0.03674912467739537,trend_50,USDCAD,21
140,-0.000481074107279526,0.4857142857142857,0.002936054108505356,0.2260624413871124,trend_50,XAUUSD,21
140,-0.16637291990116118,0.38571428571428573,-0.010300812581574587,-0.3776634919371188,trend_50,XAGUSD,21
140,-0.04231265443572194,0.42142857142857143,-0.006588108430186125,-0.1830967486968729,trend_50,USOIL,21
140,-0.05131748704379961,0.4357142857142857,-0.0019768403293049758,-0.06242118130895243,trend_50,UKOIL,21
140,-0.0028470840348997404,0.4357142857142857,-0.014670412438711034,-0.3359726807605239,trend_50,NATGAS,21
140,-0.13885548096477227,0.5928571428571429,0.0012627986226637791,0.09459898841896554,trend_50,ES1!,21
140,-0.1463558636373576,0.5642857142857143,-0.0018562673452757424,-0.10794825684019438,trend_50,NQ1!,21
598,0.05478178436641361,0.5066889632107023,0.00043850862953355744,0.28960550970837723,reversal_5,EURUSD,5
598,0.028298201466795396,0.5016722408026756,0.0002534001333427418,0.13960377485625877,reversal_5,GBPUSD,5
598,0.03159664072087114,0.5083612040133779,-0.0002117916271129604,-0.12030645621804295,reversal_5,USDJPY,5
598,0.036585319661439165,0.5150501672240803,0.00018954587295355447,0.09838291834509913,reversal_5,AUDUSD,5
598,0.08356950496952968,0.5234113712374582,0.0006176184701399366,0.3823869377335935,reversal_5,USDCHF,5
598,-0.0015544133473549733,0.4983277591973244,7.097255080014116e-05,0.053584267876723865,reversal_5,USDCAD,5
598,0.06728229676643808,0.5150501672240803,0.0009868460204197293,0.2925002592909154,reversal_5,XAUUSD,5
598,0.0390682958457594,0.5066889632107023,0.002466297909661165,0.3641039252815728,reversal_5,XAGUSD,5
598,-0.016516409889605253,0.4765886287625418,-0.004176059661717185,-0.4020485623612276,reversal_5,USOIL,5
598,-0.019921608475698478,0.5,-0.0012516509368042078,-0.15613685226406443,reversal_5,UKOIL,5
598,0.033275657408880686,0.5066889632107023,0.007169937742667328,0.5269382186725999,reversal_5,NATGAS,5
598,0.011211410736801352,0.4682274247491639,-0.00027872904911929063,-0.0933793207529596,reversal_5,ES1!,5
598,0.00687400239818643,0.47157190635451507,-0.00045414373362672155,-0.12008428995944637,reversal_5,NQ1!,5
141,-0.00246585898368937,0.5035460992907801,0.002374072120274215,0.4141041875842038,reversal_21,EURUSD,21
141,-0.009717881758636929,0.41843971631205673,-0.0024086437162248067,-0.3389441792433199,reversal_21,GBPUSD,21
141,-0.12635386788818012,0.475177304964539,-0.001666392589341497,-0.2380529332300554,reversal_21,USDJPY,21
141,0.02401643905989126,0.5177304964539007,-0.0006719607056597216,-0.07989416707003663,reversal_21,AUDUSD,21
141,0.03147823108865962,0.5531914893617021,0.0005468114584619076,0.0913366137476533,reversal_21,USDCHF,21
141,0.06901836551222226,0.48936170212765956,-2.189379632063884e-05,-0.0038257669179943953,reversal_21,USDCAD,21
141,-0.10141273170940536,0.48226950354609927,-0.004511979678437978,-0.3648200408117336,reversal_21,XAUUSD,21
141,0.008566291365212551,0.5460992907801419,0.001510232881245992,0.06220202975349985,reversal_21,XAGUSD,21
141,-0.08081253478316709,0.46099290780141844,-0.00519382015717929,-0.1324288593788503,reversal_21,USOIL,21
141,-0.11707264865790486,0.475177304964539,-0.014358149667199002,-0.4349872362165767,reversal_21,UKOIL,21
141,0.07804700543687657,0.5106382978723404,0.00672145300498908,0.14021527947770296,reversal_21,NATGAS,21
141,0.10551393467186095,0.46099290780141844,0.0006408912262751881,0.04684451239743923,reversal_21,ES1!,21
141,0.08893360160965794,0.46808510638297873,0.0010852773842853513,0.06310463470245072,reversal_21,NQ1!,21
130,0.054123366425869526,0.5615384615384615,0.0004990901056430476,0.09159818658217365,vol_scaled_mom,EURUSD,21
130,8.466591104617022e-05,0.5461538461538461,0.0007363980220289945,0.10150432268984787,vol_scaled_mom,GBPUSD,21
130,0.04431850769503885,0.5692307692307692,0.0020559161213882494,0.2897056611087598,vol_scaled_mom,USDJPY,21
130,-0.02514577558071256,0.47692307692307695,0.00011998677637249804,0.014316938628729015,vol_scaled_mom,AUDUSD,21
130,-0.1038686859031258,0.45384615384615384,-0.0013056210877326181,-0.22228074106504916,vol_scaled_mom,USDCHF,21
130,-0.21647980991137392,0.45384615384615384,-0.0028646192646123183,-0.5237022593612558,vol_scaled_mom,USDCAD,21
130,0.12788649305602973,0.5769230769230769,0.005411978204997796,0.4449029800887214,vol_scaled_mom,XAUUSD,21
130,-0.03511996613363558,0.4846153846153846,0.0031395228008402375,0.1288684462880598,vol_scaled_mom,XAGUSD,21
130,-0.026281937483783744,0.5076923076923077,-0.009999277585658937,-0.25716961194898086,vol_scaled_mom,USOIL,21
130,-0.027975255704707148,0.47692307692307695,-0.005605175832081742,-0.17372608854713248,vol_scaled_mom,UKOIL,21
130,-0.006994496715781999,0.5153846153846153,0.0003767325182368066,0.007654169500859863,vol_scaled_mom,NATGAS,21
130,-0.13257316090619836,0.6153846153846154,0.003531383228323717,0.2533496437276267,vol_scaled_mom,ES1!,21
130,-0.07908069207554384,0.6461538461538462,0.009374716710363225,0.5393567515936897,vol_scaled_mom,NQ1!,21
